sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-122,SEA-122,French,multilingual_bert_French,2e-05,32.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-121,SEA-121,French,multilingual_bert_French,2e-05,32.0,2021.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-120,SEA-120,French,multilingual_bert_French,2e-05,32.0,2020.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-119,SEA-119,French,multilingual_bert_French,2e-05,32.0,2019.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-118,SEA-118,French,multilingual_bert_French,2e-05,32.0,2018.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-117,SEA-117,French,multilingual_bert_French,5e-05,16.0,2022.0,0.5514705882352942,0.5573770491803278,0.4853115192673766,0.4959016393442623
SEA-116,SEA-116,French,multilingual_bert_French,5e-05,16.0,2021.0,0.5005386770092652,0.5327868852459017,0.456726280255692,0.4918032786885246
SEA-115,SEA-115,French,multilingual_bert_French,5e-05,16.0,2020.0,0.43922369765066394,0.5573770491803278,0.4972677595628415,0.6229508196721312
SEA-114,SEA-114,French,multilingual_bert_French,5e-05,16.0,2019.0,0.4570116566584246,0.48360655737704916,0.4385878633529463,0.46311475409836067
SEA-113,SEA-113,French,multilingual_bert_French,5e-05,16.0,2018.0,0.43043884220354806,0.4672131147540984,0.3548076923076923,0.36885245901639346
SEA-112,SEA-112,French,multilingual_bert_French,5e-05,16.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-111,SEA-111,French,multilingual_bert_French,5e-05,16.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-110,SEA-110,French,multilingual_bert_French,5e-05,16.0,2020.0,0.5072278911564626,0.6885245901639344,0.5112179487179487,0.6721311475409836
SEA-109,SEA-109,French,multilingual_bert_French,5e-05,16.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-108,SEA-108,French,multilingual_bert_French,5e-05,16.0,2018.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-107,SEA-107,French,multilingual_bert_French,3e-05,16.0,2022.0,0.549630844954881,0.5573770491803278,0.4739861825465533,0.47950819672131145
SEA-106,SEA-106,French,multilingual_bert_French,3e-05,16.0,2021.0,0.5166107893934776,0.680327868852459,0.4214432989690721,0.6229508196721312
SEA-105,SEA-105,French,multilingual_bert_French,3e-05,16.0,2020.0,0.2534965034965035,0.3114754098360656,0.23943457774555998,0.29508196721311475
SEA-104,SEA-104,French,multilingual_bert_French,3e-05,16.0,2019.0,0.4856970791930142,0.5409836065573771,0.48138863153305356,0.5204918032786885
SEA-103,SEA-103,French,multilingual_bert_French,3e-05,16.0,2018.0,0.3521241830065359,0.36065573770491804,0.28833333333333333,0.3114754098360656
SEA-102,SEA-102,French,multilingual_bert_French,3e-05,16.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-101,SEA-101,French,multilingual_bert_French,3e-05,16.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-100,SEA-100,French,multilingual_bert_French,3e-05,16.0,2020.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-99,SEA-99,French,multilingual_bert_French,3e-05,16.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-98,SEA-98,French,multilingual_bert_French,3e-05,16.0,2018.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-97,SEA-97,French,multilingual_bert_French,2e-05,16.0,2022.0,0.549630844954881,0.5573770491803278,0.5068174032202809,0.5163934426229508
SEA-96,SEA-96,French,multilingual_bert_French,2e-05,16.0,2021.0,0.459993190330269,0.5737704918032787,0.46247300804850916,0.5860655737704918
SEA-95,SEA-95,French,multilingual_bert_French,2e-05,16.0,2020.0,0.3326871148653327,0.3524590163934426,0.3631868131868132,0.3770491803278688
SEA-94,SEA-94,French,multilingual_bert_French,2e-05,16.0,2019.0,0.4606707317073171,0.5245901639344263,0.49268680732584835,0.5286885245901639
SEA-93,SEA-93,French,multilingual_bert_French,2e-05,16.0,2018.0,0.27871621621621623,0.3114754098360656,0.2673966796185093,0.30327868852459017
SEA-92,SEA-92,French,multilingual_bert_French,2e-05,16.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-91,SEA-91,French,multilingual_bert_French,2e-05,16.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-90,SEA-90,French,multilingual_bert_French,2e-05,16.0,2020.0,0.5106951871657754,0.6065573770491803,0.5033786534234308,0.5901639344262295
SEA-89,SEA-89,French,multilingual_bert_French,2e-05,16.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
